Year,labsh_US,labsh_FR,labsh_CN,capsh_US,capsh_FR,capsh_CN
1870,,,,,,
1871,,,,,,
1872,,,,,,
1873,,,,,,
1874,,,,,,
1875,,,,,,
1876,,,,,,
1877,,,,,,
1878,,,,,,
1879,,,,,,
1880,,,,,,
1881,,,,,,
1882,,,,,,
1883,,,,,,
1884,,,,,,
1885,,,,,,
1886,,,,,,
1887,,,,,,
1888,,,,,,
1889,,,,,,
1890,,,,,,
1891,,,,,,
1892,,,,,,
1893,,,,,,
1894,,,,,,
1895,,,,,,
1896,,0.72470742,,,0.27529255,
1897,,0.73852086,,,0.26147914,
1898,,0.72901583,,,0.27098417,
1899,,0.72015524,,,0.27984479,
1900,,0.71114373,,,0.2888563,
1901,,0.73289967,,,0.26710033,
1902,,0.73083514,,,0.26916486,
1903,,0.72633582,,,0.27366418,
1904,,0.72155374,,,0.27844623,
1905,,0.70722169,,,0.29277834,
1906,,0.72376215,,,0.27623788,
1907,,0.68914652,,,0.31085345,
1908,,0.7094962,,,0.2905038,
1909,,0.69902617,,,0.30097386,
1910,,0.71024603,,,0.28975397,
1911,,0.68150944,,,0.31849056,
1912,,0.64678806,,,0.35321191,
1913,,0.65234423,,,0.3476558,
1914,,0.72007322,,,0.27992678,
1915,,0.76224864,,,0.23775138,
1916,,0.72313571,,,0.27686429,
1917,,0.72984028,,,0.27015969,
1918,,0.76144701,,,0.23855302,
1919,,0.73628527,,,0.2637147,
1920,,0.73456848,,,0.26543152,
1921,,0.73371911,,,0.26628086,
1922,,0.71053129,,,0.28946871,
1923,,0.70318407,,,0.29681596,
1924,,0.70016187,,,0.29983813,
1925,,0.69804651,,,0.30195349,
1926,,0.69524044,,,0.30475953,
1927,,0.69190228,,,0.30809775,
1928,,0.69171482,,,0.30828518,
1929,0.69543827,0.69477528,,0.30456173,0.30522472,
1930,0.71368378,0.70709491,,0.28631622,0.29290512,
1931,0.74640107,0.72060776,,0.25359896,0.27939224,
1932,0.77777445,0.74395621,,0.22222555,0.25604379,
1933,0.79106593,0.73124099,,0.20893408,0.26875904,
1934,0.76964557,0.73286992,,0.23035444,0.26713008,
1935,0.75410974,0.71838528,,0.24589023,0.28161472,
1936,0.74700588,0.72193384,,0.25299409,0.27806613,
1937,0.75140125,0.73176986,,0.24859872,0.26823014,
1938,0.76314127,0.72852993,,0.23685876,0.27147004,
1939,0.75252163,0.72172606,,0.24747838,0.27827394,
1940,0.73425955,0.75545943,,0.26574045,0.24454059,
1941,0.71868145,0.77829623,,0.28131855,0.22170375,
1942,0.72623318,0.79890698,,0.27376679,0.20109302,
1943,0.74192959,0.82992738,,0.25807041,0.17007263,
1944,0.75443739,0.90365434,,0.24556263,0.096345671,
1945,0.77235544,0.89352888,,0.22764459,0.10647111,
1946,0.76699513,0.82326949,,0.23300484,0.17673054,
1947,0.75224042,0.84048384,,0.24775957,0.15951619,
1948,0.7399841,0.81728882,,0.2600159,0.18271117,
1949,0.74713278,0.79574215,,0.25286722,0.20425783,
1950,0.73414981,0.77889943,,0.26585022,0.22110055,
1951,0.73903048,0.78095013,,0.26096949,0.21904986,
1952,0.75104916,0.7990424,,0.24895081,0.20095758,
1953,0.75529182,0.79297584,,0.2447082,0.20702416,
1954,0.75258487,0.79853565,,0.24741513,0.20146433,
1955,0.73730981,0.79435974,,0.26269019,0.20564024,
