WT/Rescue,"Syt1,7"
38.4291,7.1933
64.1498,13.981
69.07,27.0059
69.9899,31.7286
70.6161,31.861
83.794,32.94
100.6735,34.0563
101.31,36.3478
101.9421,36.7148
108.0446,38.5172
108.2557,39.3509
111.0179,40.126
112.7311,42.3077
113.6149,43.3059
113.7804,44.2885
114.1318,44.3336
118.7425,45.6932
118.9649,46.9899
119.0884,47.9301
119.4795,48.2896
121.1395,49.6119
122.4575,49.7657
122.6128,50.9299
124.0887,51.3871
126.2533,51.919
128.8782,51.9985
129.3105,52.0596
130.4188,56.1586
131.9195,57.3121
133.4976,58.6218
136.1008,59.148
137.1678,60.9567
137.9911,63.4909
139.5302,65.3359
139.6184,67.8383
140.9815,67.9823
141.2748,69.1208
142.077,69.9902
142.9824,70.586
145.7595,70.8286
147.7264,71.2388
151.1966,71.4249
151.3558,71.585
153.784,72.2298
155.2346,73.0116
155.832,73.5186
156.1456,73.5287
162.4281,73.7585
162.5159,74.8526
163.8662,75.1771
165.3317,75.4592
166.0103,75.9309
166.2384,76.8367
166.327,77.2692
166.8111,77.3976
167.9744,77.7836
168.1014,78.5727
169.0989,78.6122
169.8442,79.2878
170.7667,79.3699
171.7679,80.5863
174.5959,82.2732
176.5281,82.5978
177.6983,82.95
181.2931,83.906
182.8065,84.1762
183.3747,85.1592
184.4649,86.3891
186.3136,87.8211
186.6413,88.3281
189.8176,88.414
189.9586,88.562
193.3027,90.0025
197.7737,90.373
198.3912,90.4557
199.5354,91.1419
200.2325,91.3399
201.1956,91.4082
203.7412,91.4333
204.3321,91.6911
206.2541,91.7858
209.9099,93.2083
210.4797,94.2413
212.7845,94.3254
215.6237,94.5594
216.5917,96.2822
217.4829,96.389
218.7858,96.5819
221.3644,97.1822
221.5014,97.7578
239.4722,98.2984
240.7702,98.3442
241.1139,100.6095
247.5446,101.8353
250.1389,102.2021
254.7748,102.249
255.5428,103.2982
256.3515,103.752
257.9267,104.1665
257.9853,104.8771
261.966,105.7156
262.3801,106.4427
263.4186,107.0031
264.7419,108.0438
269.2426,109.5127
270.3178,110.4849
276.8889,111.8168
278.7316,116.8325
280.2569,117.6514
287.8476,117.7825
288.873,118.8587
295.3832,120.3103
303.7186,121.4391
309.5389,123.3682
315.2837,125.4581
335.0154,128.9466
338.7616,129.2231
339.3342,129.8366
340.6379,132.4921
386.1825,140.5764
390.0902,140.8277
391.0518,140.9306
415.9473,147.0635
427.6661,150.578
460.9937,153.0416
479.6271,156.8427
509.3755,163.1866
610.7434,165.3082
,165.6133
,174.8837
,177.6388
,180.3916
,180.6145
,180.8464
,181.4941
,185.1638
,190.3074
,195.5816
,205.3169
,222.088
,229.965
,316.0318
,327.3049
,353.5836
,359.5543
